id,iso,iso_type,name,english,flag_link
1,en,language,English,English,https://BahaiPrayers.net/Content/Images/Flags/English.png
2,is,language,"Íslenska",Icelandic,"https://BahaiPrayers.net/Content/Images/Flags/Íslenska.png"
3,de,language,Deutsch,German,https://BahaiPrayers.net/Content/Images/Flags/Deutsch.png
4,es,language,"Español",Spanish,"https://BahaiPrayers.net/Content/Images/Flags/Español.png"
5,fa,original,"فارسی",Persian,"https://BahaiPrayers.net/Content/Images/Flags/فارسی.png"
6,ar,language,"العربية",Arabic,"https://BahaiPrayers.net/Content/Images/Flags/العربية.png"
7,fr,language,"Français",French,"https://BahaiPrayers.net/Content/Images/Flags/Français.png"
8,pt,language,"Português (BR)",Portuguese,"https://BahaiPrayers.net/Content/Images/Flags/Português (BR).png"
9,zh-Hans,language,"简体中文","Chinese Simplified","https://BahaiPrayers.net/Content/Images/Flags/简体中文.png"
10,it,language,Italiano,Italian,https://BahaiPrayers.net/Content/Images/Flags/Italiano.png
11,nl,language,Nederlands,Dutch,https://BahaiPrayers.net/Content/Images/Flags/Nederlands.png
12,ro,language,"România",Romanian,"https://BahaiPrayers.net/Content/Images/Flags/România.png"
13,lv,language,"Latviešu",Latvian,"https://BahaiPrayers.net/Content/Images/Flags/Latviešu.png"
14,be,language,"Беларускі",Belarusian,"https://BahaiPrayers.net/Content/Images/Flags/Беларускі.png"
15,ru,language,"Русский",Russian,"https://BahaiPrayers.net/Content/Images/Flags/Русский.png"
16,hu,language,Magyar,Hungarian,https://BahaiPrayers.net/Content/Images/Flags/Magyar.png
17,sq,language,Shqip,Albanian,https://BahaiPrayers.net/Content/Images/Flags/Shqip.png
18,cs,language,"Česky",Czech,"https://BahaiPrayers.net/Content/Images/Flags/Česky.png"
19,ja,language,"日本語",Japanese,"https://BahaiPrayers.net/Content/Images/Flags/日本語.png"
20,af,language,Afrikaans,Afrikaans,https://BahaiPrayers.net/Content/Images/Flags/Afrikaans.png
21,ko,language,"한국어",Korean,"https://BahaiPrayers.net/Content/Images/Flags/한국어.png"
22,bg,language,"български",Bulgarian,"https://BahaiPrayers.net/Content/Images/Flags/български.png"
23,no,language,Norsk,Norwegian,https://BahaiPrayers.net/Content/Images/Flags/Norsk.png
24,sv,language,Svenska,Swedish,https://BahaiPrayers.net/Content/Images/Flags/Svenska.png
25,et,language,Eesti,Estonian,https://BahaiPrayers.net/Content/Images/Flags/Eesti.png
26,sk,language,Slovensky,Slovakian,https://BahaiPrayers.net/Content/Images/Flags/Slovensky.png
27,eo,language,Esperanto,Esperanto,https://BahaiPrayers.net/Content/Images/Flags/Esperanto.png
28,hr,language,Hrvatski,Croatian,https://BahaiPrayers.net/Content/Images/Flags/Hrvatski.png
29,ky,language,"Кыргыз",Kyrgyz,"https://BahaiPrayers.net/Content/Images/Flags/Кыргыз.png"
30,sl,language,"Slovenščina",Slovene,"https://BahaiPrayers.net/Content/Images/Flags/Slovenščina.png"
32,uk,language,"Україна",Ukranian,"https://BahaiPrayers.net/Content/Images/Flags/Україна.png"
33,pl,language,Polski,Polish,https://BahaiPrayers.net/Content/Images/Flags/Polski.png
34,tl,language,Filipino,Filipino/Tagalog,https://BahaiPrayers.net/Content/Images/Flags/Filipino.png
35,hy,language,"հայերեն",Armenian,"https://BahaiPrayers.net/Content/Images/Flags/հայերեն.png"
36,az,language,"Azərbaycan",Azerbaijan,"https://BahaiPrayers.net/Content/Images/Flags/Azərbaycan.png"
37,bi,language,Vanuatu,"Vanuatu Regional",https://BahaiPrayers.net/Content/Images/Flags/Vanuatu.png
